Country,Coastline (coast/area ratio)
Afghanistan ,0.0
Andorra ,0.0
Armenia ,0.0
Austria ,0.0
Azerbaijan ,0.0
Belarus ,0.0
Bhutan ,0.0
Bolivia ,0.0
Botswana ,0.0
Burkina Faso ,0.0
Burundi ,0.0
Central African Rep. ,0.0
Chad ,0.0
"Congo, Dem. Rep. ",0.0
Czech Republic ,0.0
Ethiopia ,0.0
Hungary ,0.0
Kazakhstan ,0.0
Kyrgyzstan ,0.0
Laos ,0.0
Lesotho ,0.0
Liechtenstein ,0.0
Luxembourg ,0.0
Macedonia ,0.0
Malawi ,0.0
Mali ,0.0
Moldova ,0.0
Mongolia ,0.0
Nepal ,0.0
Niger ,0.0
Paraguay ,0.0
Rwanda ,0.0
San Marino ,0.0
Serbia ,0.0
Slovakia ,0.0
Swaziland ,0.0
Switzerland ,0.0
Tajikistan ,0.0
Turkmenistan ,0.0
Uganda ,0.0
Uzbekistan ,0.0
West Bank ,0.0
Zambia ,0.0
Zimbabwe ,0.0
